倒序	倒序 ‮
老奶奶	老奶奶 👵
老男人	老男人 👴
老女人	老女人 👵
老人	老人 👴 👵
老鼠	老鼠 🐀 🐭
老鼠脸	老鼠脸 🐭
老鼠臉	老鼠臉 🐭
老太	老太 👵
老头	老头 👴
老頭	老頭 👴
老挝	老挝 🇱🇦
老撾	老撾 🇱🇦
老爷爷	老爷爷 👴
老爺爺	老爺爺 👴
老游戏	老游戏 👾
老遊戲	老遊戲 👾
姥姥	姥姥 👵
姥爷	姥爷 👴
姥爺	姥爺 👴
乐谱	乐谱 🎼
乐曲	乐曲 🎼
叻仔	叻仔 😇
樂譜	樂譜 🎼
樂曲	樂曲 🎼
雷	雷 🌩
雷达	雷达 📡
雷達	雷達 📡
雷锋叔叔	雷锋叔叔 👲
雷鋒叔叔	雷鋒叔叔 👲
雷雨	雷雨 ⛈
雷阵雨	雷阵雨 ⛈
雷陣雨	雷陣雨 ⛈
泪	泪 😭
泪流满面	泪流满面 😭
淚	淚 😭
淚流滿面	淚流滿面 😭
累了	累了 😑
脷	脷 👅
冷汗	冷汗 😅 😓 😰
冷漠	冷漠 😒
冷笑	冷笑 😏
冷饮	冷饮 🍹
冷飲	冷飲 🍹
梨	梨 🍐
梨子	梨子 🍐
黎巴嫩	黎巴嫩 🇱🇧
礼拜堂	礼拜堂 ⛪
礼宾花	礼宾花 🎉
礼服	礼服 👗
礼盒	礼盒 🎁
礼花	礼花 🎆
礼帽	礼帽 🎩 👒
礼品	礼品 🎁 📦
礼品盒	礼品盒 🎁
礼物	礼物 🎁 💝
理发	理发 💇 💈
理发店	理发店 💈
理髮	理髮 💇 💈
理髮店	理髮店 💈
鲤鱼旗	鲤鱼旗 🎏
禮拜堂	禮拜堂 ⛪
禮賓花	禮賓花 🎉
禮服	禮服 👗
禮盒	禮盒 🎁
禮花	禮花 🎆
禮帽	禮帽 🎩 👒
禮品	禮品 🎁 📦
禮品盒	禮品盒 🎁
禮物	禮物 🎁 💝
鯉魚旗	鯉魚旗 🎏
力量	力量 💪
厉害	厉害 😼
立陶宛	立陶宛 🇱🇹
利比里亚	利比里亚 🇱🇷
利比里亞	利比里亞 🇱🇷
利比亚	利比亚 🇱🇾
利比亞	利比亞 🇱🇾
栗	栗 🌰
栗子	栗子 🌰
厲害	厲害 😼
连接	连接 🔗
连结	连结 🔗
连衣裙	连衣裙 👗
莲蓬头	莲蓬头 🚿
連接	連接 🔗
連結	連結 🔗
連衣裙	連衣裙 👗
联结	联结 🔗
蓮蓬頭	蓮蓬頭 🚿
聯結	聯結 🔗
脸部器官	脸部器官 👂 👄
脸红	脸红 😳
臉部器官	臉部器官 👂 👄
臉紅	臉紅 😳
恋爱	恋爱 💑
恋爱旅馆	恋爱旅馆 🏩
恋爱中	恋爱中 💑
恋人	恋人 💑
链接	链接 🔗
链条	链条 ⛓
鏈接	鏈接 🔗
鏈條	鏈條 ⛓
戀愛	戀愛 💑
戀愛旅館	戀愛旅館 🏩
戀愛中	戀愛中 💑
戀人	戀人 💑
凉鞋	凉鞋 👡
涼鞋	涼鞋 👡
両替	両替 💱
两边打开	两边打开 🔛
两点	两点 🕑
两点半	两点半 🕝
两点钟	两点钟 🕑
两點半	两點半 🕝
两颗心	两颗心 💕
两人	两人 👥
两仪	两仪 ☯
兩邊打開	兩邊打開 🔛
兩點	兩點 🕑
兩點半	兩點半 🕝
兩點鐘	兩點鐘 🕑
兩顆心	兩顆心 💕
兩人	兩人 👥
兩儀	兩儀 ☯
亮晶晶	亮晶晶 ✨
寮国	寮国 🇱🇦
寮國	寮國 🇱🇦
咧嘴	咧嘴 😁
列表循环	列表循环 🔄
列表循環	列表循環 🔄
列印机	列印机 🖨
列印機	列印機 🖨
列支敦士登	列支敦士登 ??🇮
列支敦斯登	列支敦斯登 🇱🇮
淋浴	淋浴 🚿
灵魂	灵魂 👻
铃	铃 🛎
铃铛	铃铛 🔔
铃当	铃当 🔔
菱形	菱形 🔶 🔷
鈴	鈴 🛎
鈴鐺	鈴鐺 🔔
鈴噹	鈴噹 🔔
零	零 0⃣
零点	零点 🕛
零點	零點 🕛
靈魂	靈魂 👻
领带	领带 👔
領帶	領帶 👔
溜冰	溜冰 ⛸
流汗	流汗 💦
流泪	流泪 😢 😭
流淚	流淚 😢 😭
流星	流星 🌠
流星雨	流星雨 🌠
留尼汪	留尼汪 🇷🇪
留尼旺	留尼旺 🇷🇪
留尼旺島	留尼旺島 🇷🇪
六	六 6⃣
六点	六点 🕕
六点半	六点半 🕡
六点钟	六点钟 🕕
六點	六點 🕕
六點半	六點半 🕡
六點鐘	六點鐘 🕕
六角星	六角星 🔯
六芒星	六芒星 ✡ 🔯
龙	龙 🐉 🐲
龙凤胎	龙凤胎 👨‍👩‍👧‍👦
龙卷风	龙卷风 🌀 🌪
龙脸	龙脸 🐲
龙年	龙年 🐲
龙头	龙头 🐲
龍	龍 🐉 🐲
龍鳳胎	龍鳳胎 👨‍👩‍👧‍👦
龍捲風	龍捲風 🌀 🌪
龍臉	龍臉 🐲
龍年	龍年 🐲
龍頭	龍頭 🐲
楼房	楼房 🏠
樓房	樓房 🏠
露齿大笑	露齿大笑 😁
露齿而笑	露齿而笑 😁
露齒大笑	露齒大笑 😁
露齒而笑	露齒而笑 😁
露宿	露宿 ⛺
露营	露营 ⛺ 🏕
露營	露營 ⛺ 🏕
卢安达	卢安达 🇷🇼
卢森堡	卢森堡 🇱🇺
卢旺达	卢旺达 🇷🇼
盧安達	盧安達 🇷🇼
盧森堡	盧森堡 🇱🇺
盧旺達	盧旺達 🇷🇼
卤煮	卤煮 🍢
滷煮	滷煮 🍢
录像	录像 🎦 📹
录像带	录像带 📼
录像机	录像机 📹
录音带	录音带 📼
录影	录影 📹
录影带	录影带 📼
录影机	录影机 📹
路口	路口 🚥 🚦
路人	路人 🚶
路障	路障 🚧
錄像	錄像 🎦 📹
錄像帶	錄像帶 📼
錄像機	錄像機 📹
錄音帶	錄音帶 📼
錄影	錄影 📹
錄影帶	錄影帶 📼
錄影機	錄影機 📹
吕宋	吕宋 🇵🇭
呂宋	呂宋 🇵🇭
旅馆	旅馆 🏨 🛌
旅舘	旅舘 🛌
旅館	旅館 🏨
旅舍	旅舍 🛌
旅行	旅行 ✈
绿茶	绿茶 🍵
绿色	绿色 ♻
绿色书本	绿色书本 📗
绿色心形	绿色心形 💚
绿心	绿心 💚
绿叶	绿叶 🍃
綠茶	綠茶 🍵
綠色	綠色 ♻
綠色書本	綠色書本 📗
綠色心形	綠色心形 💚
綠心	綠心 💚
綠葉	綠葉 🍃
轮船	轮船 🚢 🛳
轮渡	轮渡 ⛴
轮椅	轮椅 ♿
輪船	輪船 🚢 🛳
輪渡	輪渡 ⛴
輪椅	輪椅 ♿
罗马尼亚	罗马尼亚 🇷🇴
镙丝	镙丝 🔩
螺	螺 🐚
螺号	螺号 🐚
螺號	螺號 🐚
螺母及螺栓	螺母及螺栓 🔩
螺栓套件	螺栓套件 🔩
螺丝	螺丝 🔩
螺絲	螺絲 🔩
螺旋桨飞机	螺旋桨飞机 🛩
螺旋槳飛機	螺旋槳飛機 🛩
羅馬尼亞	羅馬尼亞 🇷🇴
鏍絲	鏍絲 🔩
骆驼	骆驼 🐪 🐫
落叶	落叶 🍂 🍃
落叶乔木	落叶乔木 🌳
落叶树	落叶树 🌳
落葉	落葉 🍂 🍃
落葉喬木	落葉喬木 🌳
落葉樹	落葉樹 🌳
駱駝	駱駝 🐪 🐫
妈	妈 👩
妈妈	妈妈 👩
妈咪	妈咪 👩
媽	媽 👩
媽媽	媽媽 👩
媽咪	媽咪 👩
麻将	麻将 🀄
麻將	麻將 🀄
麻雀	麻雀 🀄
马	马 🐎 🐴
马达加斯加	马达加斯加 🇲🇬
马丁尼克	马丁尼克 🇲🇶
马恩岛	马恩岛 🇮🇲
马尔代夫	马尔代夫 🇲🇻
马尔地夫	马尔地夫 🇲🇻
马尔他	马尔他 🇲🇹
马耳他	马耳他 🇲🇹
马蜂	马蜂 🐝
马拉维	马拉维 🇲🇼
马拉烕	马拉烕 🇲🇼
马来西亚	马来西亚 🇲🇾
马里	马里 🇲🇱
马利	马利 🇲🇱
马脸	马脸 🐴
马年	马年 🐴
马其顿	马其顿 🇲🇰
马肉	马肉 🐎
马绍尔群岛	马绍尔群岛 🇲🇭
马术	马术 🏇
马提尼克	马提尼克 🇲🇶
马桶	马桶 🚽
马头	马头 🐴
马戏	马戏 🎪
马戏团	马戏团 🎪
马约特	马约特 🇾🇹
马𤠑	马𤠑 🐒
码表	码表 ⏱
码头	码头 ⚓ ⛵
蚂蚁	蚂蚁 🐜
馬	馬 🐎 🐴
馬達加斯加	馬達加斯加 🇲🇬
馬丁尼克	馬丁尼克 🇲🇶
馬恩島	馬恩島 🇮🇲
馬爾代夫	馬爾代夫 🇲🇻
馬爾地夫	馬爾地夫 🇲🇻
馬爾他	馬爾他 🇲🇹
馬蜂	馬蜂 🐝
馬拉威	馬拉威 🇲🇼
馬拉維	馬拉維 🇲🇼
馬拉烕	馬拉烕 🇲🇼
馬來西亞	馬來西亞 🇲🇾
馬里	馬里 🇲🇱
馬利	馬利 🇲🇱
馬臉	馬臉 🐴
馬年	馬年 🐴
馬其頓	馬其頓 🇲🇰
馬肉	馬肉 🐎
馬紹爾群島	馬紹爾群島 🇲🇭
馬術	馬術 🏇
馬提尼克	馬提尼克 🇲🇶
馬桶	馬桶 🚽
馬頭	馬頭 🐴
馬戲	馬戲 🎪
馬戲團	馬戲團 🎪
馬約特	馬約特 🇾🇹
馬𤠑	馬𤠑 🐒
碼錶	碼錶 ⏱
碼頭	碼頭 ⚓ ⛵
螞蟻	螞蟻 🐜
睰睰	睰睰 💤
霾	霾 🌫
嘪	嘪 😟
麦	麦 🎙 🎤
麦克风	麦克风 🎙 🎤
卖萌	卖萌 🐶 💠 😊
麥	麥 🎙 🎤
麥克風	麥克風 🎙 🎤
賣萌	賣萌 🐶 💠 😊
満	満 🈵
满	满 🈵
满分	满分 💯
满月	满月 🌕 🌝
滿	滿 🈵
滿分	滿分 💯
滿月	滿月 🌕 🌝
曼岛	曼岛 🇮🇲
曼島	曼島 🇮🇲
曼哈顿	曼哈顿 🗽
曼哈頓	曼哈頓 🗽
慢走	慢走 🚶
漫步	漫步 🚶
猫	猫 🐈 🐱
猫脸	猫脸 🐱 🙀
猫咪	猫咪 🐈
猫年	猫年 🐱
猫肉	猫肉 🐈
猫头	猫头 🐱
猫熊	猫熊 🐼
貓	貓 🐈 🐱
貓臉	貓臉 🐱 🙀
貓咪	貓咪 🐈
貓年	貓年 🐱
貓肉	貓肉 🐈
貓頭	貓頭 🐱
貓熊	貓熊 🐼
毛虫	毛虫 🐛
毛蟲	毛蟲 🐛
毛里求斯	毛里求斯 🇲🇺
毛里塔尼亚	毛里塔尼亚 🇲🇷
毛里塔尼亞	毛里塔尼亞 🇲🇷
毛毛虫	毛毛虫 🐛
毛毛蟲	毛毛蟲 🐛
茅房	茅房 🚾
茅利塔尼亚	茅利塔尼亚 🇲🇷
茅利塔尼亞	茅利塔尼亞 🇲🇷
锚	锚 ⚓
錨	錨 ⚓
冇眼睇	冇眼睇 🙈
冒冷汗	冒冷汗 😅 😰
帽子	帽子 🎩 👒
沒辦法	沒辦法 👐
沒臉見人	沒臉見人 🙈
沒了	沒了 😖
沒門	沒門 🙅
沒錢	沒錢 💸
沒錢了	沒錢了 💸
沒事的	沒事的 🤗
沒說	沒說 🙊
沒聽看	沒聽看 🙉
沒問題	沒問題 🆗 👌
沒戲	沒戲 😔
沒想好	沒想好 😕
沒興趣	沒興趣 😌
沒眼看	沒眼看 🙈
沒意思	沒意思 😞 😴
沒有	沒有 🈚
沒有來信	沒有來信 📭
沒有新郵件	沒有新郵件 📬
沒有郵件	沒有郵件 📪
没办法	没办法 👐
没脸见人	没脸见人 🙈
没了	没了 😖
没门	没门 🙅
没钱	没钱 💸
没钱了	没钱了 💸
没事的	没事的 🤗
没说	没说 🙊
没听看	没听看 🙉
没问题	没问题 🆗 👌
没戏	没戏 😔
没想好	没想好 😕
没兴趣	没兴趣 😌
没眼看	没眼看 🙈
没意思	没意思 😞 😴
没有	没有 🈚
没有来信	没有来信 📭
没有新邮件	没有新邮件 📬
没有邮件	没有邮件 📪
玫瑰	玫瑰 🌹
玫瑰王国	玫瑰王国 🇧🇬
玫瑰王國	玫瑰王國 🇧🇬
眉月	眉月 🌒
梅花	梅花 ♣ 🌸
媒体	媒体 📺 📻
媒體	媒體 📺 📻
美刀	美刀 💵
美国	美国 🇺🇸 🗽
美国国旗	美国国旗 🇺🇸
美國	美國 🇺🇸 🗽
美國國旗	美國國旗 🇺🇸
美甲	美甲 💅
美金	美金 💲 💵
美女	美女 😍 😻
美容	美容 💆
美式橄榄球	美式橄榄球 🏈
美式橄欖球	美式橄欖球 🏈
美式九球	美式九球 🎱
美式足球	美式足球 🏈
美味	美味 😋 😍 😻
美元	美元 💲 💵
美圆	美圆 💵
美圓	美圓 💵
美洲	美洲 🌎
美属萨摩亚	美属萨摩亚 🇦🇸
美属维京群岛	美属维京群岛 🇻🇮
美屬薩摩亞	美屬薩摩亞 🇦🇸
美屬維京群島	美屬維京群島 🇻🇮
门	门 🚪
门票	门票 🎟
门松	门松 🎍
门卫	门卫 💂
門	門 🚪
門票	門票 🎟
門松	門松 🎍
門衛	門衛 💂
闷著	闷著 🤐
悶著	悶著 🤐
萌	萌 💠 😊
蒙古	蒙古 🇲🇳
蒙特内哥罗	蒙特内哥罗 🇲🇪
蒙特內哥羅	蒙特內哥羅 🇲🇪
蒙特塞拉特	蒙特塞拉特 🇲🇸
蒙特塞拉特岛	蒙特塞拉特岛 🇲🇸
蒙特色拉特島	蒙特色拉特島 🇲🇸
蒙眼睛	蒙眼睛 🙈
蒙哲腊	蒙哲腊 🇲🇸
蒙哲臘	蒙哲臘 🇲🇸
孟加拉	孟加拉 🇧🇩
孟加拉国	孟加拉国 🇧🇩
孟加拉國	孟加拉國 🇧🇩
迷你光碟	迷你光碟 💽
迷你光盘	迷你光盘 💽
迷你光盤	迷你光盤 💽
米饼	米饼 🍘
米餅	米餅 🍘
米饭	米饭 🍚
米飯	米飯 🍚
米果	米果 🍘
米字符号	米字符号 ❇
米字符號	米字符號 ❇
米字旗	米字旗 🇬🇧
眯眼笑	眯眼笑 😄 😆
祕魯	祕魯 🇵🇪
秘	秘 ㊙
秘方	秘方 ㊙
秘鲁	秘鲁 🇵🇪
秘魯	秘魯 🇵🇪
秘密	秘密 ㊙ 👁‍🗨
秘鑰	秘鑰 🗝
秘语	秘语 👁‍🗨
秘語	秘語 👁‍🗨
秘钥	秘钥 🗝
密克罗尼西亚	密克罗尼西亚 🇫🇲
密克羅尼西亞	密克羅尼西亞 🇫🇲
密码	密码 🔏
密碼	密碼 🔏
密鑰	密鑰 🔐
密钥	密钥 🔐
蜜	蜜 🍯
蜜蜂	蜜蜂 🐝
蜜瓜	蜜瓜 🍈
蜜罐	蜜罐 🍯
绵羊	绵羊 🐑
綿羊	綿羊 🐑
免打扰	免打扰 🔕
免打擾	免打擾 🔕
免费	免费 🆓
免费电话	免费电话 ➿
免費	免費 🆓
免費電話	免費電話 ➿
缅甸	缅甸 🇲🇲
緬甸	緬甸 🇲🇲
面	面 🍜
面包	面包 🍞
面包车	面包车 🚐
面包圈	面包圈 🍩
面具	面具 🎭
面条	面条 🍜 🍝
麵	麵 🍜
麵包	麵包 🍞
麵包車	麵包車 🚐
麵包圈	麵包圈 🍩
麵條	麵條 🍜 🍝
秒表	秒表 ⏱
秒錶	秒錶 ⏱
民工	民工 👷
民国	民国 🇹🇼
民國	民國 🇹🇼
民主刚果	民主刚果 🇨🇩
民主剛果	民主剛果 🇨🇩
抿嘴	抿嘴 😾
名牌	名牌 📛
名片制作	名片制作 📇
名片製作	名片製作 📇
明亮	明亮 🌞
明星	明星 🌟
命中	命中 🎯
模里西斯	模里西斯 🇲🇺
摩尔多瓦	摩尔多瓦 🇦🇩 🇲🇩
摩爾多瓦	摩爾多瓦 🇦🇩 🇲🇩
摩羯座	摩羯座 ♑
摩洛哥	摩洛哥 🇲🇦
摩纳哥	摩纳哥 🇲🇨
摩納哥	摩納哥 🇲🇨
摩天轮	摩天轮 🎡
摩天輪	摩天輪 🎡
摩托	摩托 🏍
摩托车	摩托车 🏍
摩托車	摩托車 🏍
摩托艇	摩托艇 🛥
蘑菇	蘑菇 🍄
魔法棒	魔法棒 🎇
魔鬼	魔鬼 👹
魔术帽	魔术帽 🎩
魔術帽	魔術帽 🎩
抹茶	抹茶 🍵
末尾	末尾 🔚
莫三比克	莫三比克 🇲🇿
莫桑比克	莫桑比克 🇲🇿
漠然	漠然 😐
墨镜	墨镜 🕶 😎
墨鏡	墨鏡 🕶 😎
墨西哥	墨西哥 🇲🇽
墨西哥卷饼	墨西哥卷饼 🌯
墨西哥捲餅	墨西哥捲餅 🌯
某人	某人 👤
母	母 👩
母鸡	母鸡 🐔
母雞	母雞 🐔
母牛	母牛 🐮
母亲	母亲 👩
母親	母親 👩
牡羊座	牡羊座 ♈
拇指	拇指 👍
拇指朝下	拇指朝下 👎
木槿	木槿 🌺
木屋	木屋 🏡
目	目 👁
目光	目光 👁
沐浴	沐浴 🛁
牧羊座	牧羊座 ♈
暮光	暮光 🌆
暮色	暮色 🌆
穆斯林	穆斯林 ☪
纳米比亚	纳米比亚 🇳🇦
納米比亞	納米比亞 🇳🇦
奶黃	奶黃 🍮
奶黄	奶黄 🍮
奶酪	奶酪 🧀
奶奶	奶奶 👵
奶牛	奶牛 🐄
奶瓶	奶瓶 🍼
奈及利亚	奈及利亚 🇳🇬
奈及利亞	奈及利亞 🇳🇬
男厕	男厕 🚹
男廁	男廁 🚹
男孩	男孩 👦
男孩节	男孩节 🎏
男孩節	男孩節 🎏
男人	男人 👨
男士	男士 🚹
男士鞋	男士鞋 👞
男双胞胎	男双胞胎 👨‍👩‍👦‍👦
男雙胞胎	男雙胞胎 👨‍👩‍👦‍👦
男同	男同 👨‍❤‍👨
男同性恋	男同性恋 👨‍❤‍👨 👬
男同性戀	男同性戀 👨‍❤‍👨 👬
男童	男童 👦
男鞋	男鞋 👞
男性	男性 🚹
男装	男装 👕
男裝	男裝 👕
男仔	男仔 👦
男子	男子 👨
南朝鲜	南朝鲜 🇰🇷
南朝鮮	南朝鮮 🇰🇷
南非	南非 🇿🇦
南瓜	南瓜 🎃
南瓜灯	南瓜灯 🎃
南瓜灯笼	南瓜灯笼 🎃
南瓜燈	南瓜燈 🎃
南瓜燈籠	南瓜燈籠 🎃
南韩	南韩 🇰🇷
南韓	南韓 🇰🇷
南极	南极 🇦🇶
南极洲	南极洲 🇦🇶
南極	南極 🇦🇶
南極洲	南極洲 🇦🇶
南帽	南帽 🎩
南美探戈	南美探戈 🇦🇷
南乔治亚和南桑威奇群岛	南乔治亚和南桑威奇群岛 🇬🇸
南乔治亚与南三明治群岛	南乔治亚与南三明治群岛 🇬🇸
南喬治亞和南桑威奇群島	南喬治亞和南桑威奇群島 🇬🇸
南喬治亞與南三明治群島	南喬治亞與南三明治群島 🇬🇸
南苏丹	南苏丹 🇸🇸
南苏丹共和国	南苏丹共和国 🇸🇸
南蘇丹	南蘇丹 🇸🇸
南蘇丹共和國	南蘇丹共和國 🇸🇸
难过	难过 😔 😩 😫 😭
难题	难题 🤔
难想	难想 🤔
難過	難過 😔 😩 😫 😭
難題	難題 🤔
難想	難想 🤔
瑙鲁	瑙鲁 🇳🇷
瑙魯	瑙魯 🇳🇷
闹铃	闹铃 ⏰ 🔔
闹心	闹心 😠
闹钟	闹钟 ⏰ 🔔
鬧鈴	鬧鈴 ⏰ 🔔
鬧心	鬧心 😠
鬧鐘	鬧鐘 ⏰ 🔔
能见度低	能见度低 🌁
能見度低	能見度低 🌁
嗯	嗯 😶
尼泊尔	尼泊尔 🇳🇵
尼泊爾	尼泊爾 🇳🇵
尼加拉瓜	尼加拉瓜 🇳🇮
尼日	尼日 🇳🇪
尼日尔	尼日尔 🇳🇪
尼日爾	尼日爾 🇳🇪
尼日利亚	尼日利亚 🇳🇬
尼日利亞	尼日利亞 🇳🇬
婗	婗 👧
你猜	你猜 😏 😼
你好	你好 🙂
你妹	你妹 😤
你也是	你也是 😏 😼
匿名	匿名 👤
念珠	念珠 📿
鸟	鸟 🐦
鸟类	鸟类 🐦
鳥	鳥 🐦
鳥類	鳥類 🐦
柠檬	柠檬 🍋
檸檬	檸檬 🍋
牛	牛 🐂 🐃 🐄 🐮
牛耳饼	牛耳饼 🍥
牛耳餅	牛耳餅 🍥
牛脸	牛脸 🐮
牛臉	牛臉 🐮
牛年	牛年 🐮
牛肉	牛肉 🐂
牛市	牛市 📈
牛头	牛头 🐮
牛頭	牛頭 🐮
牛仔裤	牛仔裤 👖
牛仔褲	牛仔褲 👖
纽埃	纽埃 🇳🇺
纽西兰	纽西兰 🇳🇿
纽约	纽约 🗽
紐埃	紐埃 🇳🇺
紐西蘭	紐西蘭 🇳🇿
紐約	紐約 🗽
农民工	农民工 👷
浓汤	浓汤 🍲
農民工	農民工 👷
濃湯	濃湯 🍲
怒	怒 😡
怒目	怒目 😾
女厕	女厕 🚺
女廁	女廁 🚺
女儿	女儿 👧 👨‍👩‍👧
女儿节	女儿节 🎎
女兒	女兒 👧 👨‍👩‍👧
女兒節	女兒節 🎎
女孩	女孩 👧
女帽	女帽 👒
女人	女人 👩
女士	女士 🚺
女士服装	女士服装 👚
女士服裝	女士服裝 👚
女士帽	女士帽 👒
女双胞胎	女双胞胎 👨‍👩‍👧‍👧
女雙胞胎	女雙胞胎 👨‍👩‍👧‍👧
女同	女同 👩‍❤‍👩
女同性恋	女同性恋 👩‍❤‍👩 👭
女同性戀	女同性戀 👩‍❤‍👩 👭
女童	女童 👧
女王	女王 👸
女鞋	女鞋 👠
女性	女性 🚺
女装	女装 👚
女裝	女裝 👚
女仔	女仔 👧
女子	女子 👩
挪威	挪威 🇳🇴
诺福克岛	诺福克岛 🇳🇫
诺鲁	诺鲁 🇳🇷
諾福克島	諾福克島 🇳🇫
諾魯	諾魯 🇳🇷
糥米丸子	糥米丸子 🍡
噢	噢 😐 😮
噢耶	噢耶 ✌
哦	哦 😮
哦耶	哦耶 ✌
欧盟	欧盟 🇪🇺
欧元	欧元 💶
欧圆	欧圆 💶
欧洲	欧洲 🌍
欧洲城堡	欧洲城堡 🏰
欧洲非洲	欧洲非洲 🌍
欧洲邮局	欧洲邮局 🏤
歐盟	歐盟 🇪🇺
歐元	歐元 💶
歐圓	歐圓 💶
歐洲	歐洲 🌍
歐洲城堡	歐洲城堡 🏰
歐洲非洲	歐洲非洲 🌍
歐洲郵局	歐洲郵局 🏤
爬泳	爬泳 🏊
帕劳	帕劳 🇵🇼
帕勞	帕勞 🇵🇼
拍电影	拍电影 🎬
拍電影	拍電影 🎬
拍摄	拍摄 🎬
拍攝	拍攝 🎬
拍手	拍手 👏
拍戏	拍戏 🎬
拍戲	拍戲 🎬
拍照	拍照 📷
排球	排球 🏐
派对	派对 🎉
派對	派對 🎉
螃蟹	螃蟹 🦀
刨冰	刨冰 🍧
跑	跑 🏃
跑步	跑步 🏃
跑车	跑车 🏎
跑車	跑車 🏎
跑马	跑马 🐎
跑馬	跑馬 🐎
泡汤	泡汤 ♨
泡湯	泡湯 ♨
泡澡	泡澡 🛀
喷气	喷气 💨
喷泉	喷泉 ⛲
喷水	喷水 🐳
喷水池	喷水池 ⛲
喷水鲸鱼	喷水鲸鱼 🐳
喷头	喷头 🚿
噴氣	噴氣 💨
噴泉	噴泉 ⛲
噴水	噴水 🐳
噴水池	噴水池 ⛲
噴水鯨魚	噴水鯨魚 🐳
噴頭	噴頭 🚿
盆浴	盆浴 🛀 🛁
盆栽	盆栽 🎍
烹饪	烹饪 🍳
烹飪	烹飪 🍳
朋友	朋友 👬 👭
椪柑	椪柑 🍊
碰杯	碰杯 🍻
碰撞	碰撞 💥
披萨	披萨 🍕
披萨片	披萨片 🍕
披薩	披薩 🍕
披薩片	披薩片 🍕
皮包	皮包 👝
皮特凯恩群岛	皮特凯恩群岛 🇵🇳
皮特凱恩群島	皮特凱恩群島 🇵🇳
皮特肯群岛	皮特肯群岛 🇵🇳
皮特肯群島	皮特肯群島 🇵🇳
皮鞋	皮鞋 👞
疲惫	疲惫 😫
疲憊	疲憊 😫
疲倦	疲倦 😩 🙀
疲劳	疲劳 😪
疲勞	疲勞 😪
啤酒	啤酒 🍺 🍻
啤酒杯	啤酒杯 🍺 🍻
匹萨饼	匹萨饼 🍕
匹薩餅	匹薩餅 🍕
屁	屁 😛
骗你的	骗你的 😜
骗钱	骗钱 💸
騙你的	騙你的 😜
騙錢	騙錢 💸
漂亮	漂亮 😍 😻
飘动	飘动 📜
飘落	飘落 🍃
飘舞	飘舞 🍃
飘扬	飘扬 📜
飄動	飄動 📜
飄落	飄落 🍃
飄舞	飄舞 🍃
飄揚	飄揚 📜
瓢虫	瓢虫 🐞
瓢蟲	瓢蟲 🐞
票	票 🎫
票据	票据 🎫
票據	票據 🎫
撇嘴	撇嘴 😕
嫔妃	嫔妃 👸
嬪妃	嬪妃 👸
聘礼	聘礼 💝
聘禮	聘禮 💝
乒乓	乒乓 🏓
乒乓球	乒乓球 🏓
乒乓球拍	乒乓球拍 🏓
平底锅	平底锅 🍳
平底鍋	平底鍋 🍳
苹果	苹果 🍎 🍏
蘋果	蘋果 🍎 🍏
破财	破财 💸
破財	破財 💸
破产	破产 💸
破產	破產 💸
破壳	破壳 🐣
破壳而出	破壳而出 🐣
破殼	破殼 🐣
破殼而出	破殼而出 🐣
破涕为笑	破涕为笑 😂
破涕為笑	破涕為笑 😂
破玩意	破玩意 😒
破玩意儿	破玩意儿 😒
破玩意兒	破玩意兒 😒
破屋	破屋 🏚
扑克	扑克 🃏
扑克牌	扑克牌 🃏 🎴
撲克	撲克 🃏
撲克牌	撲克牌 🃏 🎴
葡萄	葡萄 🍇
葡萄酒	葡萄酒 🍷
葡萄酒杯	葡萄酒杯 🍷
葡萄牙	葡萄牙 🇵🇹
蒲隆地	蒲隆地 🇧🇮
谱曲	谱曲 🎼
譜曲	譜曲 🎼
七	七 7⃣
七点	七点 🕖
七点半	七点半 🕢
七点钟	七点钟 🕖
七點	七點 🕖
七點半	七點半 🕢
七點鐘	七點鐘 🕖
七夕	七夕 🎋
七夕节	七夕节 🎋
七夕節	七夕節 🎋
七夕树	七夕树 🎋
七夕樹	七夕樹 🎋
七星瓢虫	七星瓢虫 🐞
七星瓢蟲	七星瓢蟲 🐞
脐橙	脐橙 🍊
骑车	骑车 🚲 🚴
骑车登山	骑车登山 🚵
骑单车	骑单车 🚴
骑马	骑马 🏇
骑行	骑行 🚴
骑自行车	骑自行车 🚴
旗杆	旗杆 🚩
旗桿	旗桿 🚩
臍橙	臍橙 🍊
騎車	騎車 🚲 🚴
騎車登山	騎車登山 🚵
騎單車	騎單車 🚴
騎馬	騎馬 🏇
騎行	騎行 🚴
騎自行車	騎自行車 🚴
麒麟	麒麟 🦄
企鹅	企鹅 🐧
企鵝	企鵝 🐧
启用	启用 🔛
起飞	起飞 🛫
起飛	起飛 🛫
起火	起火 🔥
起始符	起始符 〽
起雾	起雾 🌁
起霧	起霧 🌁
起子	起子 🔧
啟用	啟用 🔛
气愤	气愤 💢 😠 😡
气馁	气馁 🙁 🙍
气球	气球 🎈
汽车	汽车 🚗
汽車	汽車 🚗
汽艇	汽艇 🚤 🛥
氣憤	氣憤 💢 😠 😡
氣餒	氣餒 🙁 🙍
氣球	氣球 🎈
器官	器官 👀 👂 👃 👄 👅 👣
千里达及托巴哥	千里达及托巴哥 🇹🇹
千里達及托巴哥	千里達及托巴哥 🇹🇹
牵手	牵手 👫 👬 👭
铅笔	铅笔 ✏
