# 单字全码
缤	bbaaoo
蜢	mriaai
㠓	mriaii
幪	mriaii
蟒	mriaii
蠓	mriaii
虻	mriaov
瞢	mriiia
萌	mriioi
鹲	mriiua
甍	mriiva
蒙	mriivv
锰	mrioai
黾	mroiav
盟	mroiia
懵	mrooii
氓	mrovav
猛	mruaai
獴	mruaii
朦	mruiio
艋	mruuai
艨	mruuii
檬	mrviio
礞	mrvuii
梦	mrvvua
马	msaavv
妈	msauaa
蚂	msiaaa
蟆	msiaii
抹	msiuvv
祃	msoaaa
吗	msoaav
骂	msooaa
嘛	msoovu
摩	msoviu
麻	msovvv
犸	msuaaa
杩	msvaav
码	msvuaa
玛	msvvaa
湄	mwaaiv
郿	mwaiai
眉	mwaiia
鹛	mwaiua
渼	mwaouv
没	mwauaa
媚	mwauai
浼	mwauai
媄	mwauou
媒	mwauvi
妹	mwauvv
嵋	mwiaai
莓	mwiiuv
镅	mwioai
镁	mwioou
袂	mwoaav
昧	mwoivv
寐	mwooai
煤	mwouvi
美	mwouvu
糜	mwovou
猸	mwuaai
魅	mwuivv
每	mwuvaa
楣	mwvaiv
酶	mwviuv
霉	mwvouv
梅	mwvuva
枚	mwvuvu
瑂	mwvvai
玫	mwvvuv
矛	mzaoai
瞀	mzaoia
蝥	mzaoia
蟊	mzaoia
泖	mzauau
冒	mziaia
帽	mziaia
峁	mziaua
眊	mziauv
鄚	mziiai
茅	mziiao
茆	mziiua
芼	mziiuv
茂	mziivu
锚	mzioii
铆	mzioua
昴	mzoiua
袤	mzovao
旄	mzovuv
卯	mzuaai
贸	mzuaao
猫	mzuaii
貌	mzuoui
耄	mzuouv
牦	mzuvuv
毛	mzuvva
懋	mzvaoa
楙	mzvaoa
髦	mzviuv
瑁	mzvvia
您	nbiuoa
溺	ncaava
尿	ncavaa
嬲	nciaau
茑	nciiua
鸟	ncuaoa
袅	ncuaov
脲	ncuavu
乜	ndaaa
陧	ndaioi
涅	ndaoiv
嵲	ndiaui
孽	ndiiai
菍	ndiiio
糵	ndiiou
蘖	ndiivv
镍	ndioui
镊	ndiovi
捏	ndiuoi
摄	ndiuvi
啮	ndoivi
蹑	ndoivi
嗫	ndovii
臬	nduivv
聂	ndviao
颞	ndvivu
耨	ndvvvu
那	neavai
讷	neoaia
呢	neoavu
哪	neoavv
呐	neoiau
难	nfaoio
婻	nfauuo
囡	nfiaau
男	nfiaau
蝻	nfiauo
萳	nfiiuo
喃	nfouoi
南	nfuoia
腩	nfuuoi
赧	nfvoai
楠	nfvuoi
泞	ngaooa
拧	ngiuoo
佞	ngivva
咛	ngoooa
甯	ngoooa
宁	ngoovi
凝	ngovua
狞	nguaoo
聍	ngvioo
柠	ngvooa
奶	nhauau
鼐	nhauia
乃	nhauu
艿	nhiiau
萘	nhiivu
佴	nhivii
虐	nhivva
疟	nhovva
氖	nhuvau
迺	nhvioa
耐	nhvuvi
奈	nhvuvv
柰	nhvvvi
驽	njauaa
孥	njauai
奴	njauao
努	njauau
弩	njauav
胬	njauia
怒	njauoa
砮	njauvu
傉	njivuv
笯	njuvau
溺	nkaava
泥	nkaavu
𨺙	nkaiui
妮	nkauav
尼	nkavua
睨	nkiaui
伲	nkiavu
薿	nkiiua
铌	nkioav
你	nkiuai
拟	nkiuao
倪	nkiuiv
呢	nkoavu
昵	nkoiav
怩	nkooav
逆	nkouoa
麑	nkovui
旎	nkovuv
疑	nkuaao
猊	nkuaui
鲵	nkuaui
腻	nkuvvi
匿	nkviiv
坭	nkvoav
霓	nkvoui
娜	nlauav
女	nlauvv
那	nlavai
傩	nliaoi
𦰡	nliiav
钕	nlioau
锘	nlioii
挪	nliuav
搦	nliuav
诺	nloaii
喏	nloiiv
懦	nloovo
糯	nlouvo
衄	nluiai
恧	nlvuoa
蔫	nmiivi
念	nmiooa
捻	nmiuio
拈	nmiuiv
撵	nmiuvv
粘	nmouiv
鲇	nmuaiv
黏	nmuviv
年	nmuvvi
辗	nmvaav
廿	nmviiv
埝	nmvoio
碾	nmvuav
辇	nmvvva
嫩	nnauvi
恁	nniuoa
攮	npiuvi
曩	npoiov
囔	npovia
馕	npuavi
齉	npuivi
囊	npvioo
纽	nqaaai
妞	nqauai
钮	nqioai
拗	nqiuaa
扭	nqiuai
忸	nqooai
狃	nquaai
牛	nquvvi
杻	nqvavi
能	nraoua
纳	nsaaia
乸	nsaiaa
娜	nsauav
那	nsavai
𦰡	nsiiav
钠	nsioia
镎	nsioiv
捺	nsiuvu
拿	nsiviu
衲	nsoaia
哪	nsoavv
呐	nsoiau
肭	nsuiau
南	nsuoia
暖	ntoiuo
那	nwavai
内	nwiauo
哪	nwoavv
馁	nwuauo
娘	nxauoa
酿	nxvioa
浓	nyaoau
侬	nyioau
农	nyoaua
哝	nyooau
脓	nyuoau
秾	nyuvoa
弄	nyvvvu
淖	nzaivi
蛲	nziava
铙	nziova
挠	nziuva
呶	nzoauv
闹	nzoiov
恼	nzooov
猱	nzuaao
峱	nzuaav
脑	nzuovu
臑	nzuvoa
垴	nzvoov
孬	nzvuau
硇	nzvuui
瑙	nzvvaa
桡	nzvvau
嫔	pbauoo
姘	pbauou
拚	pbiuao
拼	pbiuou
颦	pbivui
频	pbivvu
品	pboooo
贫	pbuoao
牝	pbuvua
聘	pbviia
榀	pbvooo
玭	pbvvvi
缥	pcaavi
骠	pcaavi
嫖	pcauvi
漂	pcavia
瞟	pciavi
螵	pciavi
薸	pciiav
嘌	pcovia
膘	pcuvia
剽	pcviii
朴	pcvioo
飘	pcviua
瓢	pcviuu
票	pcvivv
殍	pcvuuo
苤	pdiivu
撇	pdiuou
掊	pdiuov
抔	pdiuvu
瞥	pdouia
剖	pdovii
裒	pdovui
氕	pduvuu
垺	pdvouo
爿	pfaivu
泮	pfaouv
潘	pfauou
畔	pfiaou
盼	pfiauo
蟠	pfiauo
拌	pfiuou
袢	pfoaou
襻	pfoavu
蹒	pfoiii
判	pfouii
叛	pfouuu
番	pfuoia
胖	pfuouv
盘	pfuuia
磐	pfuuvu
槃	pfuuvv
柈	pfvouv
磻	pfvuuo
攀	pfvuvu
涄	pgaiav
洴	pgaouv
娉	pgauia
淜	pgauuu
屏	pgavou
帡	pgiaou
蚲	pgiavo
俜	pgiiav
萍	pgiiav
荓	pgiiou
苹	pgiivo
凭	pgiuua
评	pgoavo
瓶	pgouva
冯	pgovaa
呯	pgovou
鲆	pguavo
乒	pguiuu
平	pgvouv
坪	pgvovo
枰	pgvvou
玶	pgvvvo
湃	phaiuv
派	phauuu
蒎	phiiau
俳	phiivv
排	phiuiv
拍	phiuui
哌	phouuu
迫	phuioa
牌	phuiui
徘	phuuiv
簰	phuvui
濮	pjaiii
瀑	pjaoiv
潽	pjaouv
浦	pjavia
溥	pjavia
圃	pjiavi
蒲	pjiiav
蒱	pjiiiu
仆	pjiioo
菩	pjiiov
葡	pjiiua
莆	pjiivi
镤	pjioii
镨	pjioou
铺	pjiovi
堡	pjiovo
扑	pjiuio
谱	pjoaou
蹼	pjoiii
噗	pjoiio
曝	pjoioi
暴	pjoivi
普	pjouoi
匍	pjuavi
脯	pjuvia
穙	pjuvii
氆	pjuvou
朴	pjvioo
酺	pjvivi
墣	pjvoii
埔	pjvovi
璞	pjvvii
澼	pkaauo
纰	pkaava
陂	pkaiau
淠	pkaiav
陴	pkaiui
阰	pkaiv
疋	pkaivu
皮	pkauao
濞	pkauia
媲	pkauui
劈	pkavau
䴙	pkavov
譬	pkavov
辟	pkavov
屁	pkavva
甓	pkavva
罴	pkiaoo
睥	pkiaui
蜱	pkiaui
毗	pkiav
蚍	pkiava
罢	pkiavo
僻	pkiavu
芘	pkiiva
苉	pkiivu
铍	pkioau
披	pkiuau
擗	pkiuav
批	pkiuva
仳	pkivau
伾	pkivui
被	pkoaau
裨	pkoaui
噼	pkoavu
啤	pkouia
吡	pkovau
疲	pkovau
癖	pkovav
庀	pkovua
痞	pkovvu
鲏	pkuaau
狉	pkuavu
郫	pkuiai
貔	pkuoui
脾	pkuuia
圮	pkvoav
霹	pkvoav
埤	pkvoui
鼙	pkvoui
嚭	pkvovu
坯	pkvovu
匹	pkvuaa
邳	pkvuai
否	pkvuoo
砒	pkvuva
丕	pkvuvv
枇	pkvvau
琵	pkvvva
婆	plaaau
泼	plaaua
陂	plaiau
泊	plauia
颇	plauvu
䥽	plioau
钋	plioio
钷	pliovo
攴	plivao
跛	ploiau
哱	plouoo
粕	plouui
迫	pluioa
魄	pluiui
皤	pluiuo
鄱	pluoai
繁	pluvaa
笸	pluvvo
酦	plviau
朴	plvioo
叵	plvoaa
坡	plvoau
破	plvuau
珀	plvvui
骗	pmaaoa
骈	pmaaou
㛹	pmauiv
偏	pmioav
便	pmivia
翩	pmoaao
扁	pmoaia
谝	pmoaoa
蹁	pmoioa
片	pmuiva
胼	pmuouv
犏	pmuvoa
篇	pmuvoa
楩	pmvivi
𡎚	pmvooa
湓	pnauoa
喷	pnouov
盆	pnuoia
滂	ppaovo
螃	ppiaov
旁	ppovov
庞	ppovvu
逄	ppuaoa
鳑	ppuaov
乓	ppuioo
胖	ppuouv
膀	ppuovo
彷	ppuuov
雱	ppviov
磅	ppvuov
耪	ppvvov
澎	pravoo
泙	pravou
弸	pravuu
蟛	priavo
芃	priiua
蓬	priiua
苹	priivo
抨	priuvo
捧	priuvv
怦	proovo
嘭	provoo
烹	provoo
朋	pruuu
鹏	pruuua
膨	pruvoo
篷	pruvua
堋	prvouu
彭	prvouu
椪	prvouv
碰	prvuou
棚	prvuuu
硼	prvuuu
砰	prvuvo
潖	psavvi
帕	psiaui
芭	psiiai
葩	psiiui
钯	psioai
扒	psiuuo
趴	psoiuo
啪	psoiuu
怕	psooui
叭	psouoo
爬	psuuai
舥	psuuai
筢	psuviu
杷	psvaiv
琶	psvvai
耙	psvvai
辔	pwaaoo
淠	pwaiav
陪	pwaiov
赔	pwaoov
沛	pwavia
帔	pwiaau
锫	pwioov
佩	pwiuav
裴	pwivov
呸	pwovui
旆	pwovuv
衃	pwuivu
胚	pwuvui
配	pwviav
醅	pwviov
霈	pwvoav
培	pwvoov
坏	pwvovu
泡	pzauaa
抛	pziuua
袍	pzoaua
跑	pzoiua
咆	pzouaa
炮	pzouua
庖	pzovua
疱	pzovua
刨	pzuaii
狍	pzuaua
鲍	pzuaua
脬	pzuuoo
匏	pzvuua
骎	qbaaav
沁	qbaoao
矜	qbaoio
溱	qbavvv
嵚	qbiaio
侵	qbiavv
螓	qbiavv
芩	qbiiio
芹	qbiiuu
锓	qbioav
衾	qbioov
钦	qbioua
禽	qbiovu
揿	qbiuio
擒	qbiuio
噙	qboiov
吣	qbooao
寝	qbooov
慬	qboovi
亲	qbovvv
嗪	qbovvv
勤	qbviau
覃	qbvioi
檎	qbviov
琴	qbvvio
秦	qbvvuv
缲	qcaaoo
峭	qciaio
睄	qciaio
瞧	qciaio
峤	qciauv
俏	qciiou
荞	qciiuv
劁	qcioii
锹	qciouv
雀	qciuio
撬	qciuuv
侨	qciuvu
诮	qcoaio
谯	qcoaio
跷	qcoiva
悄	qcooio
憔	qcooio
愀	qcoouv
窍	qcoovi
敲	qcoviv
乔	qcuvui
毳	qcuvuv
翘	qcvaao
鞘	qcviio
樵	qcviov
鞒	qcviuv
巧	qcviva
壳	qcvoua
硚	qcvuuv
硗	qcvuva
桥	qcvuvu
橇	qcvuvv
伽	qdiauo
且	qdiavv
茄	qdiiau
锲	qdiovv
窃	qdoova
怯	qdoovo
惬	qdoovv
妾	qdovau
癿	qduiaa
郄	qduoai
箧	qduvvv
切	qdvaau
趄	qdvoia
砌	qdvuva
挈	qdvviu
浙	qeaiuu
蔗	qeiiov
锗	qeiouo
摺	qeiuao
蛰	qeiuia
蜇	qeiuia
晢	qeiuoi
哲	qeiuoo
折	qeiuuu
褶	qeoaao
谪	qeoaov
褚	qeoauo
着	qeouia
啫	qeouov
䗪	qeovia
这	qeovoa
遮	qeovoa
鹧	qeovua
者	qeuooi
辙	qevaov
辄	qevavi
赭	qevouo
喆	qevovo
詟	qevuov
磔	qevuua
柘	qevvuo
绽	qfaaoo
沾	qfaivo
湛	qfavii
展	qfavvi
嶦	qfiaua
瞻	qfiaua
崭	qfiava
蘸	qfiivi
搌	qfiuav
偡	qfivii
占	qfivoo
战	qfivva
谵	qfoaua
粘	qfouiv
站	qfoviv
鹯	qfovua
旃	qfovuv
颤	qfovvu
飐	qfuaiv
詹	qfuaov
鳣	qfuaov
毡	qfuviv
辗	qfvaav
斩	qfvauu
栴	qfvuvu
盏	qfvvia
栈	qfvvva
清	qgavvi
黥	qgiaov
圊	qgiavv
蜻	qgiavv
苘	qgiiia
擎	qgiiiu
檠	qgiivv
倾	qgivav
倩	qgivvi
綮	qgoaaa
请	qgoavv
晴	qgoivv
情	qgoovv
勍	qgovau
庼	qgovva
庆	qgovvu
亲	qgovvv
卿	qguaav
鲭	qguavv
謦	qguoov
氢	qguvao
氰	qguvvv
箐	qguvvv
轻	qgvaao
顷	qgvavu
罄	qgvouv
磬	qgvovu
碃	qgvuvv
青	qgvvuu
翟	qhaoio
𨟠	qhiaai
侧	qhiaoi
择	qhiuao
雀	qhiuio
摘	qhiuov
债	qhivvi
砦	qhivvu
阕	qhoiao
阙	qhoiou
宅	qhoouv
窄	qhoouv
寨	qhoovv
炔	qhouav
瘸	qhovau
瘵	qhovua
斋	qhovvu
祭	qhuavv
缺	qhuvav
鹊	qhviua
却	qhvoai
榷	qhvoau
悫	qhvooa
埆	qhvoua
确	qhvuua
碏	qhvuvi
棤	qhvvii
纻	qjaaoo
驻	qjaaov
贮	qjaooo
注	qjaovv
潴	qjauau
渚	qjauov
洙	qjauvv
澍	qjavov
属	qjavui
助	qjiaau
瞩	qjiaav
蠋	qjiaia
蛀	qjiaov
蛛	qjiauv
苎	qjiioo
苧	qjiioo
著	qjiiuo
茱	qjiiuv
伫	qjiooa
铢	qjiouv
住	qjiovv
铸	qjiovv
㑇	qjiuaa
拄	qjiuov
侏	qjiuvv
祝	qjoaou
褚	qjoauo
诸	qjoauo
诛	qjoauv
嘱	qjoavu
躅	qjoiia
烛	qjouia
炷	qjouov
疰	qjovov
麈	qjovov
主	qjovvi
瘃	qjovvu
猪	qjuauo
橥	qjuavv
翥	qjuoao
煮	qjuooo
舳	qjuuia
邾	qjuvai
箸	qjuvuo
竹	qjuvuv
朱	qjuvvi
筑	qjuvvi
竺	qjuvvv
杼	qjvaoa
槠	qjvoau
术	qjvoo
柷	qjvoua
柱	qjvovv
逐	qjvuoa
砫	qjvuov
株	qjvuvv
珠	qjvvuv
呇	qkaaoo
骐	qkaavi
绮	qkaavu
骑	qkaavu
亟	qkaiia
泣	qkaovo
汔	qkauva
婍	qkauvu
汽	qkauvv
沏	qkavaa
漆	qkavia
淇	qkavii
柒	qkavvv
屺	qkiaav
岂	qkiaav
俟	qkiaou
蛴	qkiaov
岐	qkiauo
蜞	qkiavi
畦	qkiavo
崎	qkiavu
芑	qkiiav
蕲	qkiiou
荠	qkiiov
葺	qkiiov
芪	qkiiua
萋	qkiiva
企	qkiivi
萁	qkiivi
䓫	qkiivu
锜	qkiovu
伎	qkiuoa
揭	qkiuoi
歧	qkivuo
綮	qkoaaa
祁	qkoaai
启	qkoaoo
祇	qkoaua
祈	qkoauu
讫	qkoauv
祺	qkoavi
棨	qkoavv
跂	qkoiuo
蹊	qkoiuo
踦	qkoivu
愭	qkoouo
器	qkoovu
嘁	qkovui
齐	qkovui
旗	qkovuv
凄	qkovva
麒	qkovvi
弃	qkovvu
鳍	qkuauo
鲯	qkuavi
𨙸	qkuoai
耆	qkuooi
脐	qkuovu
颀	qkuuvu
乞	qkuvaa
憩	qkuvoa
迄	qkuvoa
气	qkuvva
七	qkvaa
郪	qkvaai
妻	qkvaau
杞	qkvava
綦	qkviaa
桤	qkviai
欺	qkviua
其	qkviuo
期	qkviuu
起	qkvoav
圻	qkvouu
埼	qkvovu
丌	qkvuii
戚	qkvuiv
欹	qkvuua
磜	qkvuua
砌	qkvuva
奇	qkvuvo
碛	qkvuvv
碶	qkvuvv
玘	qkvvav
栖	qkvvia
棋	qkvvii
槭	qkvvua
亓	qkvvui
琪	qkvvvi
契	qkvvvu
琦	qkvvvu
驱	qlaavu
灈	qlaiav
屈	qlavai
渠	qlavvv
黢	qliaao
蛆	qliaia
蛐	qliaia
蠼	qliaia
瞿	qliaio
氍	qliauv
曲	qliavi
岖	qliavu
䓛	qliiav
蕖	qliiav
蘧	qliiiv
苣	qliiva
觑	qlivia
龋	qlivui
诎	qloaai
祛	qloavo
袪	qloavo
阒	qloiia
焌	qlouao
癯	qlovia
竘	qlovua
劬	qluaau
鸲	qluaua
鼩	qluiua
躯	qluivu
朐	qluuao
衢	qluuia
胠	qluvoa
取	qlviao
娶	qlviau
麴	qlviua
去	qlvoao
坥	qlvoia
趋	qlvoua
趣	qlvovi
磲	qlvuav
区	qlvuoa
璩	qlvviv
㭕	qlvvoa
麹	qlvvua
缱	qmaaia
纤	qmaauv
阡	qmaiuv
浅	qmavva
汧	qmavvu
潜	qmavvu
黔	qmiaio
遣	qmiaoa
嵌	qmiavi
岍	qmiavv
伣	qmiiau
荨	qmiiav
蒨	qmiiiv
芡	qmiiua
芊	qmiiuv
茜	qmiivi
钤	qmioio
铅	qmioua
钎	qmiouv
钳	qmiovi
钱	qmiovv
掮	qmiuoa
扦	qmiuuv
仟	qmiuvi
佥	qmivoo
虔	qmivov
倩	qmivvi
谴	qmoaia
谦	qmoaou
骞	qmooaa
悭	qmooii
搴	qmooiu
慊	qmooou
褰	qmooov
歉	qmouua
前	qmouui
欠	qmuaii
鹐	qmuaua
乾	qmuouv
肷	qmuuai
愆	qmuuoa
千	qmuvii
箝	qmuviu
签	qmuviv
迁	qmuvoa
堑	qmvavo
椠	qmvavv
墘	qmvouo
圲	qmvouv
牵	qmvuuv
杄	qmvuvi
纼	qnaaav
缜	qnaauo
浈	qnaiva
阵	qnaiva
赈	qnaovu
溱	qnavvv
畛	qniaiu
帧	qniaiv
侦	qniiva
葴	qniivu
蓁	qniivv
针	qniouo
镇	qniouo
揕	qniuvi
振	qniuvu
贞	qnivao
袗	qnoaiu
诊	qnoaiu
祯	qnoaiv
鸩	qnoaua
禛	qnoauo
昣	qnoiiu
疹	qnoviu
胗	qnuiuu
真	qnuouo
朕	qnuouv
稹	qnuvuo
箴	qnuvvu
轸	qnvaiu
臻	qnvavv
斟	qnvioo
鬒	qnviuo
桢	qnviva
甄	qnviva
枕	qnvoau
圳	qnvoui
震	qnvovu
砧	qnvuiv
椹	qnvvii
珍	qnvviu
榛	qnvvvv
瑧	qnvvvv
涨	qpaava
障	qpaiov
账	qpaouv
漳	qpaovo
嫜	qpauov
张	qpavuv
嶂	qpiaov
幛	qpiaov
蟑	qpiaov
帐	qpiauv
掌	qpioiu
仉	qpiuaa
仗	qpivuo
暲	qpoiov
鄣	qpovai
瘴	qpovov
章	qpovuo
彰	qpovuu
獐	qpuaov
胀	qpuuva
长	qpuvao
樟	qpvovo
丈	qpvuoo
璋	qpvvov
杖	qpvvuo
泅	qqaiav
巯	qqaoov
赇	qqaovi
湫	qqauvi
虬	qqiaaa
囚	qqiaii
蝤	qqiaou
蚯	qqiaui
艽	qqiiua
萩	qqiiuv
𨱇	qqiovi
仇	qqiuaa
俅	qqivio
遒	qqouoa
糗	qqouui
酋	qqouvi
龟	qquaia
訄	qquaov
犰	qquaua
鳅	qquauv
邱	qquiai
鼽	qquiua
丘	qquivi
秋	qquvou
鹙	qquvua
逑	qqvioa
鞧	qqviou
求	qqviov
裘	qqviov
楸	qqvuvi
璆	qqvvao
球	qqvvvi
烝	qraioo
帧	qriaiv
峥	qriaua
睁	qriaua
蒸	qriiai
铮	qrioua
钲	qriovi
拯	qriuai
挣	qriuua
诤	qroaua
证	qroavi
怔	qroovi
郑	qrouai
症	qrovvi
争	qruaav
狰	qruaua
徵	qruuia
征	qruuvi
筝	qruvua
政	qrviuv
整	qrvivi
正	qrvivi
洽	qsaivo
髂	qsiaoo
葜	qsiivv
拤	qsiuiv
掐	qsiuua
卡	qsivvi
袷	qsoaiv
恰	qsooiv
绻	qtaaou
劝	qtaoau
婘	qtauou
𨟠	qtiaai
圈	qtiaou
蜷	qtiaou
畎	qtiavu
荃	qtiiiv
颧	qtiivu
佺	qtiivv
铨	qtioiv
全	qtivvi
诠	qtoaiv
悛	qtooao
券	qtouau
拳	qtouiu
痊	qtoviv
鳈	qtuaui
鳤	qtuauv
泉	qtuiaa
筌	qtuviv
辁	qtvaiv
权	qtvaoo
醛	qtviii
鬈	qtviou
棬	qtvouv
犬	qtvuoo
瑔	qtvvui
逡	qwaooa
淳	qwaovo
群	qwavou
囷	qwiauv
裙	qwoaav
谆	qwoaov
窀	qwoova
准	qwovio
这	qwovoa
麇	qwovuv
衠	qwuuuo
肫	qwuvai
屯	qwvaia
戕	qxaiva
嫱	qxauuo
强	qxavoi
蜣	qxiaou
戗	qxiava
蔃	qxiiav
蔷	qxiiuo
镪	qxioav
锵	qxioov
锖	qxiovv
抢	qxiuia
襁	qxoaav
呛	qxoiaa
跄	qxoiia
羟	qxouao
炝	qxouia
羌	qxouvv
将	qxovua
腔	qxuooa
枪	qxviaa
墙	qxvouo
樯	qxvuoo
玱	qxvvia
嬛	qyauia
茕	qyiiav
䓖	qyiioo
穷	qyooau
穹	qyooav
筇	qyuvvi
邛	qyviai
蛩	qyviia
銎	qyviio
跫	qyvioi
琼	qyvvov
沼	qzaauo
召	qzauoo
罩	qziaiv
䓬	qziiiv
钊	qzioii
招	qziuau
找	qziuva
诏	qzoaau
肇	qzoaav
昭	qzoiau
曌	qzoioo
照	qzoioo
啁	qzouav
着	qzouia
嘲	qzouoo
旐	qzovuv
兆	qzuoau
朝	qzuouu
爪	qzuuio
笊	qzuvuu
棹	qzvivo
赵	qzvouo
汭	rbaiau
蚋	rbiaia
芮	rbiiia
蕊	rbiioa
蕤	rbiivu
锐	rbioou
睿	rbivia
枘	rbviau
瑞	rbvvia
柔	rdaovv
肉	rdiaii
揉	rdiuao
蹂	rdoiao
宍	rdooov
糅	rdouao
鞣	rdviao
惹	reiioa
热	reiuoo
喏	reoiiv
染	rfauvv
䎃	rfiaao
蚺	rfiaia
冉	rfiaiv
苒	rfiiia
燃	rfouua
然	rfuaoo
髯	rfviia
汝	rjaauv
洳	rjaauv
𦈡	rjaavo
缛	rjaavu
孺	rjaivo
如	rjauoo
嬬	rjauvi
濡	rjavoa
溽	rjavuv
蠕	rjiavo
茹	rjiiau
薷	rjiivo
蓐	rjiivu
铷	rjioau
儒	rjivoa
襦	rjoavo
褥	rjoavu
嚅	rjovoa
乳	rjuoaa
入	rjuoo
颥	rjvovu
辱	rjvuvi
驲	rkaaoi
䒤	rkiioi
日	rkoii
婼	rlauii
弱	rlavav
鄀	rliiai
蒻	rliiav
偌	rliiiv
爇	rliivo
若	rliivu
挼	rliuuo
箬	rluvii
纫	rnaaau
纴	rnaauv
忍	rnauoa
刃	rnauoo
妊	rnauuv
仞	rniauo
人	rniii
荏	rniiiu
葚	rniivi
任	rniuvi
仁	rnivvv
讱	rnoaau
认	rnoaii
衽	rnoauv
饪	rnuauv
稔	rnuvio
壬	rnuviv
轫	rnvaau
韧	rnvvau
瀼	rpaovo
蘘	rpiiov
儴	rpiovo
攘	rpiuov
让	rpoaiv
禳	rpoaov
嚷	rpoovo
瓤	rpovuu
穰	rpuvov
壤	rpvoov
挼	rqiuuo
仍	rriauu
扔	rriuau
阮	rtaivv
媆	rtauvu
朊	rtuvvu
软	rtvaua
堧	rtvovu
瓀	rtvvvo
润	rwaoia
闰	rwoivv
绒	ryaavv
溶	ryaooa
嵘	ryiaii
蝾	ryiaii
蓉	ryiioo
茸	ryiivi
荣	ryiivv
镕	ryiooo
冗	ryoaua
容	ryoouo
熔	ryouoo
狨	ryuavv
肜	ryuuuu
融	ryvoia
榕	ryvooa
瑢	ryvvoo
戎	ryvvua
绕	rzaava
娆	rzauva
荛	rziiva
扰	rziuvu
饶	rzuava
桡	rzvvau
绥	sbaauo
濉	sbaiav
隧	sbaiou
隋	sbaivu
随	sbaivu
祟	sbaivv
尿	sbavaa
睢	sbiaio
岁	sbiaua
眭	sbiavo
髓	sbiavu
荽	sbiiuo
襚	sboaou
谇	sboaov
虽	sboiav
邃	sboooa
遂	sbouoa
燧	sbouou
旞	sbovuv
穟	sbuvou
穗	sbuvvi
碎	sbvuov
璲	sbvvou
溲	sdauiv
瞍	sdiaui
螋	sdiaui
薮	sdiiou
蒐	sdiiui
锼	sdioui
擞	sdiuou
搜	sdiuui
嗾	sdoova
嗖	sdouiv
嗽	sdovia
廋	sdovui
飕	sduaui
馊	sduaui
叟	sduiao
艘	sduuui
涩	seaauo
㴔	seauaa
洓	seavia
铯	seioua
塞	seoovo
色	seuaai
啬	seuoia
穑	seuvuo
瑟	sevvoa
槭	sevvua
璱	sevvvv
参	sfaouu
毵	sfaouv
叁	sfaovv
潵	sfavii
伞	sfiouu
糁	sfouao
馓	sfuavi
散	sfviuv
三	sfvvvv
思	shiaoa
赛	shooao
噻	shoooa
塞	shoovo
鳃	shuaia
腮	shuiav
骕	sjaaav
溯	sjaouv
涑	sjavia
鹔	sjavua
肃	sjavvi
苏	sjiiau
蔌	sjiivi
俗	sjiuoi
僳	sjivia
傃	sjivvi
谡	sjoaia
诉	sjoauu
蹜	sjoioo
宿	sjooiv
窣	sjooov
愫	sjoovv
塑	sjouvo
嗉	sjovvi
稣	sjuauv
觫	sjuavi
夙	sjuavu
簌	sjuvvi
速	sjvioa
粟	sjviou
甦	sjviuv
酥	sjviuv
素	sjvvaa
缌	skaaia
驷	skaaia
糸	skaaiu
涘	skaaou
鸶	skaaua
汜	skaava
丝	skaavv
泗	skaiau
厶	skaoo
姒	skauao
巳	skavaa
澌	skavii
司	skavoo
㟃	skiaav
蛳	skiaiu
思	skiaoa
似	skiaoi
俟	skiaou
兕	skiaua
四	skiaua
伺	skiavo
食	skioav
锶	skioia
撕	skiuvi
咝	skoaaa
祀	skoaav
祠	skoaav
嗣	skoiav
嘶	skovii
凘	skovvi
饲	skuaav
飔	skuaia
虒	skuuiv
私	skuvao
笥	skuvav
楒	skviav
肆	skviav
斯	skviuu
寺	skvovi
死	skvuua
厮	skvuvi
耜	skvvia
缩	slaaoo
娑	slaiau
挲	slaiiu
溹	slauoo
睃	sliaao
莎	sliiai
蓑	sliiov
锁	slioio
些	slivvv
唆	sloaou
唢	sloiou
嗍	sloouv
羧	slouao
嗦	slouoo
索	sluoaa
所	sluuuu
桫	slvaiu
梭	slvaou
琐	slvvio
森	snvvvv
颡	spaovu
桑	spaovv
搡	spiuao
嗓	spoaoa
丧	spuoau
磉	spvuao
僧	srioui
挲	ssaiiu
洒	ssavia
萨	ssiiai
撒	ssiuvi
仨	ssivvv
飒	ssovua
脎	ssuuov
歃	ssuvua
靸	ssviua
卅	ssvuii
蒜	stiivv
狻	stuaao
算	stuvia
酸	stviao
孙	swaiiu
荪	swiiai
隼	swiouo
损	swiuoa
狲	swuaai
飧	swuaio
笋	swuvav
榫	swviov
飱	swvuio
娀	syauvv
淞	syavuo
嵩	syiaov
崧	syiavu
怂	syiioa
耸	syiivi
菘	syiivu
㧐	syiuao
诵	syoaao
讼	syoauo
忪	syoouo
悚	syoovi
宋	syoovv
送	syouoa
竦	syovvi
凇	syovvu
颂	syuovu
松	syvuoa
缫	szaaaa
骚	szaaao
溞	szaaoo
缲	szaaoo
嫂	szauui
搔	sziuao
扫	sziuav
燥	szouoo
瘙	szovao
鳋	szuaao
臊	szuooo
梢	szviou
埽	szvoav
退	tbavoa
蜕	tbiaou
推	tbiuio
褪	tboaav
煺	tbouav
腿	tbuavv
魋	tbuiio
颓	tbuvvu
忒	tbvoao
